site,longitude,latitude,replicate,date_MM/DD/YY,waypoint_name,so_count
Shinaku Inlet,-133.139832,55.592331,2,8/1/18,WP0009,1
Shinaku Inlet,-133.141785,55.590195,2,8/1/18,WP0010,2
Shinaku Inlet,-133.146088,55.589573,2,8/1/18,WP0011,2
Shinaku Inlet,-133.147369,55.589367,2,8/1/18,WP0012,1
Shinaku Inlet,-133.143753,55.591835,2,8/1/18,WP0013,1
Shinaku Inlet,-133.149307,55.595577,2,8/1/18,WP0014,1
Shinaku Inlet,-133.156479,55.595085,2,8/1/18,WP0015,1
Shinaku Inlet,-133.162643,55.594486,2,8/1/18,WP0016,1
Shinaku Inlet,-133.159866,55.594025,2,8/1/18,WP0017,1
Shinaku Inlet,-133.168564,55.595512,2,8/1/18,WP0018,1
Shinaku Inlet,-133.168655,55.588722,2,8/1/18,WP0019,28
Shinaku Inlet,-133.167236,55.599583,2,8/1/18,WP0020,1
Shinaku Inlet,-133.180191,55.587433,2,8/1/18,WP0021,1
Shinaku Inlet,-133.176071,55.585556,2,8/1/18,WP0022,1
Shinaku Inlet,-133.156204,55.58297,2,8/1/18,WP0023,2
Shinaku Inlet,-133.147659,55.584103,2,8/1/18,WP0024,1
Shinaku Inlet,-133.160873,55.580849,2,8/1/18,WP0025,1
Shinaku Inlet,-133.159241,55.580154,2,8/1/18,WP0026,3
Shinaku Inlet,-133.157852,55.579651,2,8/1/18,WP0027,3
Shinaku Inlet,-133.166092,55.577175,2,8/1/18,WP0028,7
Shinaku Inlet,-133.172852,55.573849,2,8/1/18,WP0029,1
Shinaku Inlet,-133.180191,55.570835,2,8/1/18,WP0030,33
Shinaku Inlet,-133.164902,55.568306,2,8/1/18,WP0031,1
Shinaku Inlet,-133.176361,55.574371,2,8/1/18,WP0032,2
Shinaku Inlet,-133.187241,55.56863,2,8/1/18,WP0033,1
Shinaku Inlet,-133.184097,55.573227,2,8/1/18,WP0034,1
Shinaku Inlet,-133.195084,55.577427,2,8/1/18,WP0035,3
Shinaku Inlet,-133.181137,55.569633,2,8/1/18,WP0036,11
Shinaku Inlet,-133.187454,55.566719,2,8/1/18,WP0037,1
Shinaku Inlet,-133.187195,55.565392,2,8/1/18,WP0038,1
Shinaku Inlet,-133.190125,55.565121,2,8/1/18,WP0039,1
Shinaku Inlet,-133.202103,55.562302,2,8/1/18,WP0040,2
Shinaku Inlet,-133.185867,55.564079,2,8/1/18,WP0041,1
Shinaku Inlet,-133.198608,55.558949,2,8/1/18,WP0042,2
Shinaku Inlet,-133.200287,55.557182,2,8/1/18,WP0043,1
Shinaku Inlet,-133.205978,55.556435,2,8/1/18,WP0044,3
Shinaku Inlet,-133.208115,55.557831,2,8/1/18,WP0045,1
Shinaku Inlet,-133.214645,55.564545,2,8/1/18,WP0046,3
Shinaku Inlet,-133.217178,55.567135,2,8/1/18,WP0047,1
Shinaku Inlet,-133.208084,55.56786,2,8/1/18,WP0048,1
Shinaku Inlet,-133.204636,55.569889,2,8/1/18,WP0049,1
Shinaku Inlet,-133.198685,55.569176,2,8/1/18,WP0050,1
Shinaku Inlet,-133.19696,55.571484,2,8/1/18,WP0051,1
Shinaku Inlet,-133.204865,55.573139,2,8/1/18,WP0052,1
Shinaku Inlet,-133.203201,55.575375,2,8/1/18,WP0053,1
Shinaku Inlet,-133.202026,55.583427,2,8/1/18,WP0054,1
Shinaku Inlet,-133.211777,55.582455,2,8/1/18,WP0055,1
Shinaku Inlet,-133.212067,55.576061,2,8/1/18,WP0056,1
Shinaku Inlet,-133.209869,55.575569,2,8/1/18,WP0057,1
Shinaku Inlet,-133.214249,55.572662,2,8/1/18,WP0058,1
Shinaku Inlet,-133.223282,55.566792,2,8/1/18,WP0059,2
Shinaku Inlet,-133.219559,55.569706,2,8/1/18,WP0060,1
Shinaku Inlet,-133.225967,55.568604,2,8/1/18,WP0061,1
Shinaku Inlet,-133.222107,55.572559,2,8/1/18,WP0062,1
Shinaku Inlet,-133.23349,55.571514,2,8/1/18,WP0063,1
Shinaku Inlet,-133.235626,55.576412,2,8/1/18,WP0064,2
Shinaku Inlet,-133.239655,55.56926,2,8/1/18,WP0065,3
Shinaku Inlet,-133.243469,55.573719,2,8/1/18,WP0066,2
Shinaku Inlet,-133.242874,55.575912,2,8/1/18,WP0067,1
Shinaku Inlet,-133.24382,55.572601,2,8/1/18,WP0068,1
Shinaku Inlet,-133.24231,55.573261,2,8/1/18,WP0069,2
Shinaku Inlet,-133.24382,55.563648,2,8/1/18,WP0070,3
Shinaku Inlet,-133.244781,55.561367,2,8/1/18,WP0071,3
Shinaku Inlet,-133.235916,55.562725,2,8/1/18,WP0072,1
Shinaku Inlet,-133.235779,55.563732,2,8/1/18,WP0073,1
Shinaku Inlet,-133.233795,55.56424,2,8/1/18,WP0074,1
Shinaku Inlet,-133.230164,55.56382,2,8/1/18,WP0075,1
Shinaku Inlet,-133.228546,55.562832,2,8/1/18,WP0076,1
Shinaku Inlet,-133.225616,55.564365,2,8/1/18,WP0077,1
Shinaku Inlet,-133.222885,55.562843,2,8/1/18,WP0078,4
Shinaku Inlet,-133.231445,55.557297,2,8/1/18,WP0079,3
Shinaku Inlet,-133.233398,55.560383,2,8/1/18,WP0080,1
Shinaku Inlet,-133.234177,55.55571,2,8/1/18,WP0081,1
Shinaku Inlet,-133.235886,55.554565,2,8/1/18,WP0082,1
Shinaku Inlet,-133.239227,55.550217,2,8/1/18,WP0083,1
Shinaku Inlet,-133.24469,55.548759,2,8/1/18,WP0084,1
Shinaku Inlet,-133.245636,55.555946,2,8/1/18,WP0085,1
Shinaku Inlet,-133.252487,55.555244,2,8/1/18,WP0086,1
Shinaku Inlet,-133.252762,55.557243,2,8/1/18,WP0087,9
Shinaku Inlet,-133.250198,55.5583,2,8/1/18,WP0088,1
Shinaku Inlet,-133.254501,55.557625,2,8/1/18,WP0089,2
Shinaku Inlet,-133.251251,55.559307,2,8/1/18,WP0090,1
Shinaku Inlet,-133.245361,55.559086,2,8/1/18,WP0091,3
Shinaku Inlet,-133.246643,55.559658,2,8/1/18,WP0092,3
Shinaku Inlet,-133.256577,55.559467,2,8/1/18,WP0093,5
Shinaku Inlet,-133.253448,55.563675,2,8/1/18,WP0094,1
Shinaku Inlet,-133.262131,55.559361,2,8/1/18,WP0095,3
Shinaku Inlet,-133.262863,55.560081,2,8/1/18,WP0096,2
Shinaku Inlet,-133.262878,55.567272,2,8/1/18,WP0097,1
Shinaku Inlet,-133.263687,55.562595,2,8/1/18,WP0098,1
Shinaku Inlet,-133.267517,55.563801,2,8/1/18,WP0099,1
Shinaku Inlet,-133.271469,55.561787,2,8/1/18,WP0100,2
Soda Bay,-133.025635,55.244736,2,07/29/18,WP0002,1
Soda Bay,-132.993164,55.252159,2,07/29/18,WP0003,1
Soda Bay,-132.984619,55.257137,2,07/29/18,WP0004,2
Soda Bay,-132.981979,55.256115,2,07/29/18,WP0005,3
Soda Bay,-132.981552,55.2551,2,07/29/18,WP0006,1
Soda Bay,-132.976273,55.258575,2,07/29/18,WP0007,2
Soda Bay,-132.970993,55.264893,2,07/29/18,WP0008,4
Soda Bay,-132.984161,55.26474,2,07/29/18,WP0009,2
Soda Bay,-132.985168,55.271324,2,07/29/18,WP0010,1
Soda Bay,-132.982437,55.269993,2,07/29/18,WP0011,1
Sukkwan Narrows,-133.023544,55.200104,2,07/26/18,WP0019,0
